"date","betten_belegt","faelle_covid_aktuell"
2020-04-25,19432,2570
2020-04-26,18884,2541
2020-04-27,18727,2409
2020-04-28,19337,2467
2020-04-29,19929,2415
2020-04-30,19899,2280
2020-05-01,19484,2189
2020-05-02,19268,2105
2020-05-03,18463,1979
2020-05-04,18596,1949
2020-05-05,19180,1937
2020-05-06,19627,1884
2020-05-07,19822,1823
2020-05-08,19860,1712
2020-05-09,19732,1650
2020-05-10,19165,1581
2020-05-11,18779,1576
2020-05-12,19468,1539
2020-05-13,20183,1465
2020-05-14,20297,1329
2020-05-15,20388,1294
2020-05-16,20498,1203
2020-05-17,19944,1166
2020-05-18,19450,1133
2020-05-19,19972,1115
2020-05-20,20372,1045
2020-05-21,20611,1016
2020-05-22,20061,965
2020-05-23,20006,919
2020-05-24,19512,889
2020-05-25,19394,873
2020-05-26,20224,821
2020-05-27,20633,763
2020-05-28,20771,744
2020-05-29,20662,729
2020-05-30,20553,720
2020-05-31,19840,702
2020-06-01,19316,677
2020-06-02,19632,689
2020-06-03,20517,632
2020-06-04,20953,600
2020-06-05,21054,592
2020-06-06,20731,566
2020-06-07,20004,567
2020-06-08,19851,545
2020-06-09,20853,525
2020-06-10,21041,492
2020-06-11,20961,456
2020-06-12,20296,447
2020-06-13,20065,440
2020-06-14,19665,422
2020-06-15,19500,425
2020-06-16,20409,419
2020-06-17,20713,406
2020-06-18,20705,396
2020-06-19,20239,376
2020-06-20,19102,361
2020-06-21,17906,342
2020-06-22,17602,349
2020-06-23,17964,337
2020-06-24,17718,331
2020-06-25,21073,360
2020-06-26,21220,364
2020-06-27,20996,345
2020-06-28,20478,338
2020-06-29,20387,332
2020-06-30,20997,337
2020-07-01,21406,329
2020-07-02,21530,327
2020-07-03,21312,318
2020-07-04,20915,322
2020-07-05,20318,298
2020-07-06,20238,305
2020-07-07,20967,298
2020-07-08,21081,292
2020-07-09,21088,275
2020-07-10,21208,278
2020-07-11,21048,252
2020-07-12,20276,253
2020-07-13,20187,264
2020-07-14,21009,266
2020-07-15,21489,248
2020-07-16,21533,255
2020-07-17,21571,249
2020-07-18,21145,247
2020-07-19,20535,249
2020-07-20,20721,246
2020-07-21,21237,254
2020-07-22,21522,250
2020-07-23,21589,239
2020-07-24,21734,237
2020-07-25,21407,249
2020-07-26,20807,269
2020-07-27,20724,261
2020-07-28,21439,258
2020-07-29,21765,261
2020-07-30,21698,266
2020-07-31,21693,265
2020-08-01,21473,261
2020-08-02,20915,272
2020-08-03,20785,270
2020-08-04,19547,224
2020-08-05,21340,239
2020-08-06,21449,236
2020-08-07,21442,230
2020-08-08,21173,231
2020-08-09,20656,236
2020-08-10,20781,230
2020-08-11,21562,234
2020-08-12,21708,224
2020-08-13,21826,224
2020-08-14,21962,230
2020-08-15,21629,227
2020-08-16,21049,224
2020-08-17,21078,228
2020-08-18,21701,227
2020-08-19,21888,228
2020-08-20,22011,231
2020-08-21,21969,236
2020-08-22,21538,233
2020-08-23,20942,245
2020-08-24,20779,245
2020-08-25,21494,223
2020-08-26,21832,228
2020-08-27,21715,241
2020-08-28,21697,236
2020-08-29,21555,241
2020-08-30,21051,245
2020-08-31,21043,246
2020-09-01,21673,235
2020-09-02,21833,228
2020-09-03,21832,223
2020-09-04,21760,225
2020-09-05,21604,223
2020-09-06,21019,218
2020-09-07,21088,228
2020-09-08,21764,230
2020-09-09,21877,227
2020-09-10,22048,233
2020-09-11,22114,220
2020-09-12,21730,233
2020-09-13,21262,236
2020-09-14,21106,237
2020-09-15,21836,236
2020-09-16,22142,233
2020-09-17,22304,238
2020-09-18,22093,246
2020-09-19,21633,257
2020-09-20,21195,268
2020-09-21,21153,267
2020-09-22,21765,278
2020-09-23,21896,293
2020-09-24,21931,296
2020-09-25,22001,304
2020-09-26,21760,312
2020-09-27,21113,325
2020-09-28,21100,353
2020-09-29,21844,352
2020-09-30,21972,355
2020-10-01,21832,362
2020-10-02,21801,373
2020-10-03,21459,404
